2022-05-19 23:05:728 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:722 INFO  HomePage :58 - Enter job title into the tab: 
2022-05-19 23:05:551 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 23:05:382 INFO  HomePage :58 - Enter job title into the tab: 
2022-05-19 23:05:558 INFO  HomePage :62 - Enter your location into the tab : 
2022-05-19 23:05:739 INFO  HomePage :66 - Select distance up to 5 miles from distsance dropdown [[ChromeDriver: chrome on WINDOWS (f6a0fdf81e1f2d348e73cdd69ee5dd4c)] -> xpath: //select[@id='distance']]<br>
2022-05-19 23:05:47 INFO  HomePage :70 - Click on more search option [[ChromeDriver: chrome on WINDOWS (f6a0fdf81e1f2d348e73cdd69ee5dd4c)] -> xpath: //button[@id='toggle-hp-search']]<br>
2022-05-20 10:05:348 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 10:05:380 INFO  HomePage :49 - Click on accept cookies : [[ChromeDriver: chrome on WINDOWS (95ecf4491444a5d0e7d4fde9f043e442)] -> xpath: //iframe[@id='gdpr-consent-notice']]Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='save']'
2022-05-20 10:05:115 INFO  HomePage :58 - Enter job title into the tab: 
2022-05-20 10:05:725 INFO  HomePage :62 - Enter your location into the tab : 
2022-05-20 10:05:247 INFO  HomePage :66 - Select distance up to 5 miles from distsance dropdown [[ChromeDriver: chrome on WINDOWS (95ecf4491444a5d0e7d4fde9f043e442)] -> xpath: //select[@id='distance']]<br>
2022-05-20 10:05:334 INFO  HomePage :70 - Click on more search option [[ChromeDriver: chrome on WINDOWS (95ecf4491444a5d0e7d4fde9f043e442)] -> xpath: //button[@id='toggle-hp-search']]<br>
2022-05-20 10:05:532 INFO  HomePage :74 - Enter min Salary 30000 to minimum salary field [[ChromeDriver: chrome on WINDOWS (95ecf4491444a5d0e7d4fde9f043e442)] -> xpath: //input[@id='salarymin']]<br>
2022-05-20 10:05:31 INFO  HomePage :78 - Enter max Salary 50000 to maximum salary field [[ChromeDriver: chrome on WINDOWS (95ecf4491444a5d0e7d4fde9f043e442)] -> xpath: //input[@id='salarymax']]<br>
2022-05-20 10:05:407 INFO  HomePage :82 - Select Salary Type Per annum from salary type dropdown [[ChromeDriver: chrome on WINDOWS (95ecf4491444a5d0e7d4fde9f043e442)] -> xpath: //select[@id='salarytype']]<br>
